"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1895-01-01,,,,,,,,,,,,,,,
1895-02-01,,,,,,,,,,,,,,,
1895-03-01,,,,,,,,,,,,,,,
1895-04-01,,,,,,,,,,,,,,,
1895-05-01,,,,,,,,,,,,,,,
1895-06-01,,,,,,,,,,,,,,,
1895-07-01,,,,,,,,,,,,,,,
1895-08-01,,,,,,,,,,,,,,,
1895-09-01,,,,,,,,,,,,,,,
1895-10-01,,,,,,,,,,,,,,,
1895-11-01,,,,,,,,,,,,,,,
1895-12-01,,,,,,,,,,,,,,,
1896-01-01,,,,,,,,,,,,,,,
1896-02-01,,,,,,,,,,,,,,,
1896-03-01,,,,,,,,,,,,,,,
1896-04-01,,,,,,,,,,,,,,,
1896-05-01,,,,,,,,,,,,,,,
1896-06-01,,,,,,,,,,,,,,,
1896-07-01,,,,,,,,,,,,,,,
1896-08-01,,,,,,,,,,,,,,,
1896-09-01,,,,,,,,,,,,,,,
1896-10-01,,,,,,,,,,,,,,,
1896-11-01,,,,,,,,,,,,,,,
1896-12-01,,,,,,,,,,,,,,,
1897-01-01,,,,,,,,,,,,,,,
1897-02-01,,,,,,,,,,,,,,,
1897-03-01,,,,,,,,,,,,,,,
1897-04-01,,,,,,,,,,,,,,,
1897-05-01,,,,,,,,,,,,,,,
1897-06-01,,,,,,,,,,,,,,,
1897-07-01,,,,,,,,,,,,,,,
1897-08-01,,,,,,,,,,,,,,,
1897-09-01,,,,,,,,,,,,,,,
1897-10-01,,,,,,,,,,,,,,,
1897-11-01,,,,,,,,,,,,,,,
1897-12-01,,,,,,,,,,,,,,,
1898-01-01,,,,,,,,,,,,,,,
