,Date,Runoff Average (acre-ft/day)
0,1950-01-01,0.4500537838471203
1,1950-01-02,0.046012251600120214
2,1950-01-03,0.0
3,1950-01-04,0.5674230246379752
4,1950-01-05,0.0
5,1950-01-06,0.0
6,1950-01-07,0.3848162735727634
7,1950-01-08,5.501348750465206
8,1950-01-09,30.691725429747507
9,1950-01-10,20.913326405485584
10,1950-01-11,18.649021965462044
11,1950-01-12,0.0
12,1950-01-13,288.67578621966254
13,1950-01-14,1043.769904571644
14,1950-01-15,398.9449262436797
15,1950-01-16,0.0
16,1950-01-17,0.0
17,1950-01-18,0.0
18,1950-01-19,0.0
19,1950-01-20,1.1082033205094002
20,1950-01-21,0.0
21,1950-01-22,0.0
22,1950-01-23,20.70413107228215
23,1950-01-24,3.804578607190237
24,1950-01-25,1.0536872745770216
25,1950-01-26,0.0
26,1950-01-27,0.0
27,1950-01-28,1.5803781403475443
28,1950-01-29,143.5876929297806
29,1950-01-30,86.24161850918479
30,1950-01-31,67.67920037152213
31,1950-02-01,0.0
32,1950-02-02,229.4564425065799
33,1950-02-03,0.0
34,1950-02-04,9.545883690181757
35,1950-02-05,32.79094474362167
36,1950-02-06,201.68728912734528
37,1950-02-07,157.79485521106787
38,1950-02-08,0.06876297499249456
39,1950-02-09,0.0
40,1950-02-10,0.0
41,1950-02-11,36.62657349457975
42,1950-02-12,11.829480248884181
43,1950-02-13,0.5260844982032328
44,1950-02-14,0.0
45,1950-02-15,0.0
46,1950-02-16,0.0
47,1950-02-17,2.2815177634846404
48,1950-02-18,4.009060201896678
49,1950-02-19,0.13593670359782994
50,1950-02-20,0.11482955133158149
51,1950-02-21,0.6185967398356077
52,1950-02-22,1.2475506450688747
53,1950-02-23,4.62326777916213
54,1950-02-24,16.58027537132639
55,1950-02-25,87.10179917670673
56,1950-02-26,341.7869232370452
57,1950-02-27,306.8969796693542
58,1950-02-28,472.2906001900101
59,1950-03-01,443.5766429753073
60,1950-03-02,485.72649779418316
61,1950-03-03,186.4870539748899
62,1950-03-04,133.26622657863672
63,1950-03-05,189.161347708303
64,1950-03-06,404.8629697344538
65,1950-03-07,160.50549725406074
66,1950-03-08,87.48880095201771
67,1950-03-09,136.42365092777624
68,1950-03-10,358.06711581963646
69,1950-03-11,544.4719562215436
70,1950-03-12,551.3617970048313
71,1950-03-13,503.86220236337834
72,1950-03-14,1381.0908638062858
73,1950-03-15,164.03372295674603
74,1950-03-16,112.15725241353553
75,1950-03-17,49.88226022502863
76,1950-03-18,405.6106237887348
77,1950-03-19,582.5729836863444
78,1950-03-20,708.0298578599184
79,1950-03-21,701.7799046706842
80,1950-03-22,705.3511476379149
81,1950-03-23,504.9098392439994
82,1950-03-24,82.19573125218804
83,1950-03-25,14.892095819857841
84,1950-03-26,143.9951136765596
85,1950-03-27,546.7271665739358
86,1950-03-28,846.3059206372985
87,1950-03-29,1030.0104500966384
88,1950-03-30,1006.2326504902571
89,1950-03-31,941.4437959232986
90,1950-04-01,190.24038638044334
91,1950-04-02,165.7136533794581
92,1950-04-03,91.5169544797676
93,1950-04-04,224.27128110014397
94,1950-04-05,188.11851658496357
95,1950-04-06,530.474580337413
96,1950-04-07,594.2939597439462
97,1950-04-08,468.29690626325066
98,1950-04-09,136.25811521918482
99,1950-04-10,106.83034889843856
100,1950-04-11,828.9623746770754
101,1950-04-12,687.7062561468078
102,1950-04-13,509.0710694657503
103,1950-04-14,342.0863403353294
104,1950-04-15,202.89593989767738
105,1950-04-16,288.94426689490746
106,1950-04-17,303.29705740488345
107,1950-04-18,390.48909888636547
108,1950-04-19,403.8026310841214
109,1950-04-20,76.41127428428328
110,1950-04-21,92.01605999815585
111,1950-04-22,19.783978814203767
112,1950-04-23,169.76863553036256
113,1950-04-24,405.4668858717553
114,1950-04-25,431.0956384737345
115,1950-04-26,386.86274153662544
116,1950-04-27,631.4087670211815
117,1950-04-28,1025.757057948466
118,1950-04-29,1155.4484487998643
119,1950-04-30,1054.4676365748164
120,1950-05-01,626.8075956807445
121,1950-05-02,516.0069988629385
122,1950-05-03,498.9642648513496
123,1950-05-04,47.99840854989795
124,1950-05-05,9.059501577169497
125,1950-05-06,215.25840999165058
126,1950-05-07,552.3337272416106
127,1950-05-08,93.51209556072651
128,1950-05-09,217.9386070669013
129,1950-05-10,540.7529893368293
130,1950-05-11,821.834784680543
131,1950-05-12,604.354940113763
132,1950-05-13,331.67045718248903
133,1950-05-14,194.49942394340496
134,1950-05-15,198.7987415695342
135,1950-05-16,504.0102186136737
136,1950-05-17,619.1838937790062
137,1950-05-18,381.6581139948063
138,1950-05-19,509.59074355762397
139,1950-05-20,260.6164336359101
140,1950-05-21,116.27418370889785
141,1950-05-22,161.2397388079076
142,1950-05-23,261.74411589591
143,1950-05-24,58.72536205832847
144,1950-05-25,8.750031270532077
145,1950-05-26,17.65872282833658
146,1950-05-27,92.62430483759404
147,1950-05-28,192.0990068924999
148,1950-05-29,32.06525560583014
149,1950-05-30,58.44904890116834
150,1950-05-31,164.96952349210787
151,1950-06-01,203.17912308194846
152,1950-06-02,21.433359064988583
153,1950-06-03,61.82271175402595
154,1950-06-04,218.58543709854413
155,1950-06-05,366.66329549534174
